Gene_A	Gene_B	correlation
AT1G13160	AT2G36930	0.9541468609135609
AT1G48920	AT2G40430	0.9541249754701593
AT1G04870	AT5G15550	0.9541035971560059
AT1G72700	AT2G19450	0.9540253716463618
AT1G75670	AT4G25730	0.9540160926875629
AT1G02870	AT3G13230	0.9539741354527101
AT3G22380	AT5G61380	0.9538351777201268
AT1G07360	AT1G10580	0.953760680321811
AT1G06380	AT1G12650	0.9535997493360159
AT1G72320	AT2G18900	0.9535431350898473
AT1G56110	AT4G05410	0.9535414483504374
AT1G25260	AT3G11964	0.9534894607401098
AT1G16280	AT4G28200	0.9534650429685895
AT1G28060	AT5G16780	0.9534068863280253
AT1G54770	AT3G58660	0.9533579359320163
AT1G10090	AT1G30360	0.9533244843620992
AT1G31660	AT3G13230	0.9532812259351622
AT1G16280	AT5G52820	0.9532724961039166
AT1G01620	AT3G16240	0.953239142141742
AT1G06720	AT1G25260	0.953145670680924
AT1G52930	AT4G25340	0.9530790865384837
AT1G03530	AT1G16280	0.9530121290581084
AT1G29940	AT4G25630	0.95293938284243
AT2G40080	AT3G22380	0.9528791011404013
AT1G25260	AT5G14520	0.9528244476800185
AT1G25260	AT3G05060	0.9526314050945952
AT1G31660	AT2G45730	0.9526046342933141
AT1G15420	AT1G48920	0.9525901940463132
AT1G15440	AT4G23540	0.9525310273496235
AT1G31660	AT4G16630	0.9524587867265153
AT1G56190	AT3G54050	0.9524356979836024
AT1G16280	AT4G02400	0.9524303464541916
AT1G72320	AT5G66540	0.9524158236025136
AT1G04870	AT5G52820	0.9523951352555068
AT1G54770	AT5G11240	0.9523872808909578
AT1G43860	AT3G21540	0.9523642902787106
AT1G15440	AT5G05210	0.9522733208861219
AT1G25260	AT3G57660	0.9522642891901315
AT1G01470	AT1G20450	0.9522611748686798
AT1G75670	AT3G16840	0.9522084159418044
AT1G03360	AT3G09720	0.9521752060276155
AT1G04870	AT1G31660	0.9520935314248486
AT1G27680	AT2G36390	0.9520492843611218
AT1G72700	AT4G04340	0.9520469009226333
AT1G75270	AT2G29420	0.9519894197898567
AT1G06380	AT5G15750	0.9519604066398804
AT1G64200	AT4G38920	0.9519553197636441
AT1G68010	AT3G26650	0.951904590839333
AT1G10490	AT1G31660	0.9517876615097964
AT1G16350	AT4G29220	0.9517769344312802
AT5G03240	AT5G54960	0.9517497827586251
AT1G12650	AT2G29540	0.951707616426996
AT1G18850	AT3G23620	0.9516917303595204
AT1G06380	AT3G62310	0.9516904698563129
AT1G31660	AT5G14520	0.9516389542603279
AT1G02870	AT3G11964	0.9516038737301376
AT1G75670	AT3G56990	0.9515917123094305
AT1G48160	AT2G37600	0.9515809699022452
AT1G56110	AT5G66540	0.9515807436696396
AT1G03130	AT3G26650	0.9515589102684727
AT1G25450	AT1G67730	0.9515241514167414
AT1G52930	AT3G26410	0.9515072685641315
AT2G38650	AT3G19820	0.9514848491957669
AT1G25260	AT2G44510	0.9514020268460848
AT1G10090	AT1G11960	0.9513376627402064
AT1G15440	AT1G79150	0.9513304598919239
AT1G16280	AT1G80750	0.9513237739387495
AT1G25260	AT2G40360	0.9512111694771387
AT1G75670	AT5G14520	0.9511368860506256
AT1G22770	AT3G22380	0.9511286914178635
AT1G15440	AT5G20160	0.9510924718979048
AT1G16280	AT1G79150	0.9510117986783124
