protein1	protein2
AT5G13790	AT3G57390
AT5G13790	AT2G45660
AT5G13790	AT4G24540
AT5G13790	AT2G45650
AT5G13790	AT1G69120
AT5G13790	AT5G37260
AT5G13790	AT1G24260
AT5G13790	AT3G58780
AT5G13790	AT2G42830
AT5G13790	AT2G22540
AT1G71692	AT3G57230
AT3G57230	AT3G57230
AT3G57230	AT2G22630
AT3G57230	AT4G37940
AT3G57230	AT2G14210
AT3G57230	AT2G45650
AT3G57230	AT1G69120
AT3G57230	AT5G10140
AT3G57230	AT1G31140
AT3G57230	AT3G58780
AT3G57230	AT2G42830
AT3G57230	AT2G22540
AT2G22630	AT2G41690
AT2G22630	AT5G15800
AT3G57390	AT3G61910
AT3G57390	AT4G35550
AT1G71692	AT2G45660
AT3G61120	AT2G45660
AT4G11880	AT2G45660
AT3G57230	AT2G45660
AT2G22630	AT2G45660
AT4G22950	AT2G45660
AT2G45660	AT2G45660
AT2G45660	AT5G62165
AT2G45660	AT2G14210
AT2G45660	AT2G45650
AT2G45660	AT5G51870
AT2G45660	AT5G60910
AT2G45660	AT1G69120
AT2G45660	AT1G26310
AT2G45660	AT5G22290
AT2G45660	AT5G15800
AT2G45660	AT3G02310
AT2G45660	AT2G03710
AT2G45660	AT3G58780
AT2G45660	AT2G42830
AT2G45660	AT2G22540
AT4G18960	AT4G37940
AT1G71692	AT4G37940
AT3G61120	AT4G37940
AT5G13790	AT4G37940
AT2G22630	AT4G37940
AT4G22950	AT4G37940
AT2G45660	AT4G37940
AT4G37940	AT4G37940
AT4G37940	AT5G62165
AT4G37940	AT2G14210
AT4G37940	AT2G45650
AT4G37940	AT5G60910
AT4G37940	AT1G69120
AT4G37940	AT3G02310
AT4G37940	AT3G58780
AT4G37940	AT2G42830
AT4G37940	AT2G22540
AT5G64750	AT1G65360
AT1G65360	AT3G61910
AT1G65360	AT5G37260
AT1G65360	AT4G18390
AT4G18960	AT4G24540
AT4G11880	AT4G24540
AT3G57230	AT4G24540
AT2G45660	AT4G24540
AT4G37940	AT4G24540
AT4G24540	AT4G24540
AT4G24540	AT2G45650
AT4G24540	AT5G60910
AT4G24540	AT1G69120
AT4G24540	AT3G58780
AT2G34440	AT3G61910
AT5G26650	AT5G60440
AT5G26650	AT5G39810
AT5G26650	AT5G47220
AT5G26650	AT5G65210
AT1G01530	AT1G65300
AT4G18960	AT5G27130
AT3G18650	AT5G27130
AT5G27130	AT1G60040
AT5G27130	AT4G11250
AT5G27130	AT2G45650
AT5G27130	AT5G38740
AT5G27130	AT5G65330
AT5G27130	AT5G58890
AT5G27130	AT5G39810
AT5G27130	AT1G69120
AT5G27130	AT1G77080
AT3G57230	AT5G62165
AT5G62165	AT2G45650
AT2G14210	AT5G21120
AT2G14210	AT2G28160
AT2G14210	AT2G22540
AT4G11250	AT1G60920
AT4G11250	AT5G66300
AT4G11250	AT4G35550
AT3G57230	AT5G27070
AT5G27070	AT2G45650
AT5G27090	AT5G49490
AT4G11250	AT1G60880
AT3G04100	AT5G37260
AT3G04100	AT5G65210
AT1G28450	AT5G15840
AT1G28450	AT3G10480
AT2G24840	AT5G48670
AT1G65300	AT5G60440
AT5G60440	AT5G27960
AT1G18750	AT1G54330
AT1G18750	AT2G02450
AT2G45650	AT1G77980
AT1G18750	AT1G77980
AT1G77980	AT5G58890
AT1G77980	AT5G27960
AT1G77980	AT5G06500
AT1G77980	AT2G03710
AT1G77950	AT4G08150
AT1G77950	AT4G02590
AT5G41200	AT5G65210
AT1G60920	AT5G65330
AT1G60880	AT5G65330
AT2G45650	AT5G65330
AT5G38740	AT5G65330
AT3G30260	AT4G14410
AT3G30260	AT5G53290
AT3G30260	AT5G65210
AT5G60440	AT5G48670
AT5G27070	AT5G49490
AT5G49490	AT5G53290
AT1G54760	AT4G35550
AT1G65360	AT1G31630
AT1G01530	AT1G31630
AT2G45650	AT1G31630
AT5G60440	AT1G31630
AT1G18750	AT1G31630
AT5G58890	AT1G31630
AT1G31630	AT5G27960
AT1G31630	AT1G69120
AT1G31630	AT2G03710
AT1G31630	AT3G57920
AT1G31630	AT5G24590
AT5G64750	AT1G22590
AT1G22590	AT2G46530
AT1G22590	AT3G61910
AT5G49490	AT5G27580
AT2G45650	AT5G60910
AT5G60910	AT5G60910
AT5G60910	AT1G69120
AT3G66656	AT5G37260
AT3G18650	AT1G31640
AT1G65360	AT1G31640
AT2G45650	AT1G31640
AT5G60440	AT1G31640
AT5G65330	AT1G31640
AT5G27960	AT1G31640
AT1G31640	AT1G69120
AT1G31640	AT2G03710
AT1G31640	AT5G23260
AT1G69540	AT4G17785
AT4G18960	AT1G46408
AT5G27050	AT1G46408
AT3G18650	AT1G46408
AT1G22130	AT1G46408
AT5G26880	AT1G46408
AT5G40220	AT1G46408
AT4G11250	AT1G46408
AT5G27070	AT1G46408
AT2G45650	AT1G46408
AT5G60440	AT1G46408
AT1G18750	AT1G46408
AT5G40120	AT1G46408
AT5G38740	AT1G46408
AT5G65330	AT1G46408
AT5G58890	AT1G46408
AT1G22590	AT1G46408
AT5G27580	AT1G46408
AT5G27960	AT1G46408
AT1G46408	AT1G69120
AT1G46408	AT1G77080
AT1G46408	AT2G03710
AT1G46408	AT5G23260
AT3G18650	AT5G04640
AT5G40220	AT5G04640
AT4G11250	AT5G04640
AT5G40120	AT5G04640
AT5G38740	AT5G04640
AT5G65330	AT5G04640
AT5G58890	AT5G04640
AT4G18960	AT5G20240
AT4G18960	AT3G48430
AT4G18960	AT5G15800
AT4G18960	AT3G02310
AT4G18960	AT1G24260
AT4G18960	AT3G58780
AT5G06950	AT5G06960
AT5G06950	AT1G07530
AT5G67110	AT1G14920
AT5G67110	AT2G01570
AT5G67110	AT3G03450
AT2G16910	AT4G21330
AT1G62700	AT3G20310
AT1G62700	AT5G08190
AT2G45650	AT1G69120
AT1G69120	AT1G69120
AT1G69120	AT5G62000
AT1G69120	AT2G35940
AT1G69120	AT2G20570
AT1G69120	AT5G46880
AT1G69120	AT5G25220
AT1G69120	AT1G77080
AT1G69120	AT2G47190
AT1G69120	AT5G20240
AT1G69120	AT3G48430
AT1G69120	AT5G02030
AT1G69120	AT1G24260
AT1G69120	AT2G22540
AT1G69120	AT2G31070
AT1G69120	AT3G47620
AT1G69120	AT3G15030
AT1G69120	AT5G24590
AT1G69120	AT5G23260
AT3G61120	AT3G54340
AT1G69120	AT3G54340
AT3G54340	AT3G54340
AT3G54340	AT5G20240
AT3G54340	AT1G24260
AT1G79430	AT4G25470
AT1G79430	AT4G00150
AT1G79430	AT4G04890
AT1G79430	AT3G02150
AT2G28350	AT5G60450
AT1G59750	AT1G34310
AT1G34310	AT3G61830
AT1G34310	AT5G62000
AT1G34310	AT5G60450
AT1G34310	AT4G23980
AT1G34310	AT1G19850
AT1G35540	AT3G61830
AT1G59750	AT3G61830
AT3G61830	AT3G61830
AT3G61830	AT5G62000
AT3G61830	AT5G60450
AT3G61830	AT4G23980
AT3G61830	AT4G32010
AT3G61830	AT1G19850
AT3G19290	AT1G19220
AT1G22130	AT1G19220
AT5G62165	AT1G19220
AT1G31630	AT1G19220
AT1G19220	AT1G35240
AT1G19220	AT1G71260
AT1G19220	AT5G08130
AT1G19220	AT5G62430
AT1G19220	AT3G45170
AT1G19220	AT4G36620
AT1G19220	AT3G60530
AT1G19220	AT5G60480
AT1G19220	AT5G67060
AT1G19220	AT4G22700
AT1G19220	AT4G37540
AT1G19220	AT3G06120
AT1G19220	AT4G17785
AT1G19220	AT1G79180
AT1G19220	AT4G37780
AT1G19220	AT1G32510
AT1G19220	AT4G28500
AT1G19220	AT1G56010
AT1G19220	AT2G34720
AT1G19220	AT3G14020
AT1G19220	AT1G30500
AT1G19220	AT5G23090
AT1G19220	AT3G48590
AT1G19220	AT1G30490
AT1G19220	AT5G45710
AT1G19220	AT1G19510
AT1G19220	AT5G37260
AT1G19220	AT3G02310
AT1G19220	AT3G45150
AT1G19220	AT5G35550
AT1G19220	AT2G02740
AT1G59750	AT1G59750
AT1G35240	AT3G61910
AT1G35240	AT5G20730
AT1G35240	AT4G35550
AT1G34310	AT1G34390
AT1G59750	AT5G60450
AT5G60450	AT5G60450
AT3G61830	AT1G30330
AT1G30330	AT4G23980
AT1G30330	AT2G01570
AT1G59750	AT4G23980
AT5G62000	AT4G23980
AT1G35240	AT4G23980
AT5G60450	AT4G23980
AT4G23980	AT4G23980
AT4G23980	AT1G19850
AT1G67710	AT5G03790
AT1G67710	AT3G55210
AT1G67710	AT2G01760
AT2G37630	AT2G37630
AT2G37630	AT1G65620
AT2G37630	AT5G15840
AT2G37630	AT3G24520
AT2G37630	AT4G37260
AT1G65620	AT1G65620
AT1G65620	AT4G00220
AT1G65620	AT2G30340
AT1G65620	AT1G53230
AT1G54060	AT2G38880
AT1G54060	AT3G01970
AT2G30130	AT4G34530
AT2G30130	AT2G33835
AT2G30130	AT2G30340
AT2G30130	AT2G40470
AT2G30130	AT3G26620
AT2G30130	AT5G63090
AT2G30130	AT5G60970
AT5G08790	AT5G08790
AT5G08790	AT5G13910
AT2G25900	AT3G19860
