protein1	protein2
SNAI1	POU5F1
SNAI1	TWIST1
SNAI1	GATAD2A
SNAI1	CBX2
SNAI1	REST
SNAI1	STAT3
SNAI1	MBD3
SNAI1	HMG20B
SNAI1	SNAI2
SNAI1	EGR1
SNAI1	SALL4
SNAI1	SMAD4
SNAI1	PPARG
SOX4	LEF1
SOX4	TCF7
SOX4	TCF7L2
SOX4	TCF7L1
IRF1	JUN
IRF1	NR3C1
IRF1	STAT2
IRF1	ATF2
IRF1	IRF2
IRF1	IRF9
IRF1	IRF4
IRF1	STAT1
IRF1	SP100
IRF1	IRF7
IRF1	IRF3
IRF1	IRF5
IRF1	STAT3
IRF1	GTF2B
IRF1	RELA
IRF1	GTF3A
IRF1	EGR1
IRF1	IRF6
SOX9	RUNX2
SOX9	SP7
SOX9	WT1
SOX9	NEUROG3
SOX9	FOXL2
SOX9	NR5A1
SOX9	NKX3-2
SOX9	SNAI2
FOSB	JUND
FOSB	ESR1
FOSB	MYC
FOSB	EGR1
FOSB	JUN
FOSB	FOSL1
FOSB	FOS
FOSB	FOSL2
FOSB	JUNB
FOSB	NCOA3
FOSB	EGR2
FOSB	MAFG
FOSB	NR4A1
FOSB	NR4A2
NR1D1	NR1D2
NR1D1	DBP
NR1D1	RORA
NR1D1	HSF2
NR1D1	NPAS2
NR1D1	BHLHE41
NR1D1	CLOCK
NR1D1	ARNTL
MLX	MXD4
MLX	MLXIP
MLX	MNT
MLX	MLXIPL
SIX1	MYOD1
SIX1	DACH1
SIX1	SALL1
TBPL2	CDX4
TBPL2	GTF2B
TBPL2	BRF2
TBPL2	TP53
TBPL2	TBP
TBPL2	DRAP1
TBPL2	TBPL1
ZNF777	ZNF212
PIN1	TP53
PIN1	TP73
PIN1	TERF1
PIN1	IRF3
PIN1	MAX
PIN1	MYC
PIN1	MYT1
KLF2	FOXO1
KLF2	NFKB1
KLF2	RELA
MTERF1	GABPA
MTERF1	MTERF4
MTERF1	MTERF3
HOXD9	HOXA5
HOXD9	HOXC4
HOXD9	HOXC5
HOXD9	HOXD4
HOXD10	HOXD11
HOXD11	ZBTB16
HOXD11	HOXD10
MYOD1	PAX3
MYOD1	SRF
MYOD1	MYB
MYOD1	SMAD3
MYOD1	MYF6
MYOD1	MYOG
MYOD1	NFATC1
MYOD1	MYF5
MYOD1	MEF2D
MYOD1	MYRF
MYOD1	MEF2C
MYOD1	TCF3
MYOD1	TCF4
MYOD1	HEY1
MYOD1	SIX1
MYOD1	STAT3
MYOD1	TCF12
MYOD1	PAX7
MYOD1	MEF2A
MYOD1	SMAD4
ZNF232	ZNF444
FOXA1	ATF2
FOXA1	POU2F1
FOXA1	ESR1
FOXA1	GATA3
FOXA1	NCOA1
FOXA1	JUN
FOXA1	FOS
FOXA1	TBP
FOXA1	YY1
FOXA1	NCOA3
FOXA1	PGR
FOXA1	AR
SALL1	NANOG
SALL1	POU5F1
SALL1	SOX2
SALL1	SIX1
SALL1	SALL4
PBX4	MEIS3
ZSCAN10	NANOG
ZSCAN10	PBX1
ZSCAN10	POU5F1
ZSCAN10	EPAS1
ZSCAN10	LIN28A
ZSCAN10	KLF4
ZSCAN10	SOX2
ZSCAN10	SALL4
ZSCAN10	SMAD4
ZSCAN10	PRDM14
SAFB2	SAFB
SAFB2	SRCAP
JUND	JUN
JUND	FOSL1
JUND	ATF2
JUND	FOS
JUND	BATF
JUND	FOSL2
JUND	SP1
JUND	JUNB
JUND	ATF3
JUND	ESR1
JUND	NCOA3
JUND	JDP2
JUND	FOSB
JUND	CREB5
JUND	BATF3
JUND	MYC
JUND	EGR1
GATA5	GATA1
GATA5	ZFPM1
GATA5	GATA3
GATA5	GATA4
GATA5	ZFPM2
GATA5	NKX2-5
GATA5	GATA6
GATA5	GATA2
NR1H2	RXRB
NR1H2	SREBF1
NR1H2	NR1H3
NR1H2	RXRA
NR1H2	RXRG
RARA	NR3C1
RARA	PCGF2
RARA	RXRB
RARA	CTCF
RARA	PBX1
RARA	PAX6
RARA	HOXD4
RARA	HOXA1
RARA	NCOA1
RARA	RXRA
RARA	HOXA4
RARA	HOXB4
RARA	ZBTB16
RARA	GTF2B
RARA	RXRG
RARA	MEIS1
RARA	RARG
RARA	THRA
RARA	YY1
RARA	HOXB3
RARA	NCOA3
RARA	VDR
RARA	HOXB1
RARA	PKNOX1
RARA	EGR2
RARA	RARB
RARA	GTF3A
RARA	SPI1
RARA	NCOA2
RARA	THRB
THAP1	THAP11
TERF2	TERF1
MBD2	GATAD2B
MBD2	ZNF219
MBD2	GATAD2A
MBD2	BAZ2A
MBD2	DNMT1
MBD2	MBD3
BHLHE40	NR1D2
BHLHE40	HES1
BHLHE40	RORC
BHLHE40	RORB
BHLHE40	NFIL3
BHLHE40	NPAS2
BHLHE40	BHLHE41
BHLHE40	CLOCK
BHLHE40	ARNTL
BHLHE40	PPARG
DZIP1	GLI2
DZIP1	GLI3
HNF1A	PPARD
HNF1A	SRF
HNF1A	HNF4A
HNF1A	HNF4G
HNF1A	MYC
HNF1A	SMAD4
HNF1A	FOXA3
TBX3	NKX2-5
BACH2	MAFK
BACH2	PRDM1
BACH2	PAX5
TFCP2	YY1
TFCP2	UBP1
EMX1	TBR1
SP110	STAT1
KAT7	AR
POU5F1	ZIC3
POU5F1	FOXD3
POU5F1	NANOG
POU5F1	CTCF
POU5F1	SNAI1
POU5F1	SOX1
POU5F1	PBX1
POU5F1	EPAS1
POU5F1	NR2F2
POU5F1	KLF4
POU5F1	ESRRB
POU5F1	NR0B1
POU5F1	NR5A2
POU5F1	GATA4
POU5F1	MYC
POU5F1	SALL1
POU5F1	SALL4
POU5F1	SMAD4
POU5F1	POU5F1B
POU5F1	ZSCAN10
POU5F1	ZFP42
POU5F1	TP53
POU5F1	SETDB1
POU5F1	GATA6
POU5F1	LIN28A
POU5F1	SOX17
POU5F1	SOX2
POU5F1	TCF4
POU5F1	STAT3
POU5F1	CDX2
POU5F1	NR6A1
POU5F1	PRDM14
SIX3	VSX2
SIX3	PAX6
SIX3	SOX2
SIX3	OTX2
ZNF24	ZNF18
ZNF24	ZNF174
ZNF24	ZKSCAN3
ZNF24	ZNF446
ZNF24	ZNF397
ZNF24	ZSCAN16
ZNF24	ZKSCAN4
ZNF24	ZNF396
RORA	NR1D1
RORA	RORC
RORA	RORB
RORA	SREBF1
RORA	STAT6
RORA	STAT3
RORA	NPAS2
RORA	BHLHE41
RORA	CLOCK
RORA	ARNTL
RORA	HIF1A
VSX2	SIX3
IKZF4	IKZF1
IKZF4	IKZF3
ATF1	CREB3L4
ATF1	CREB3L2
ATF1	ATF2
ATF1	CREB1
ATF1	CREM
ATF1	ATF3
ATF1	XBP1
ATF1	ATF4
ATF1	CREB5
ATF1	CREB3
ATF1	CREB3L1
ATF1	CREB3L3
YY1	ATF2
YY1	POU2F1
YY1	PCGF2
YY1	ESR1
YY1	GATA3
YY1	PAX6
YY1	HOXD4
YY1	RXRA
YY1	FOXK1
YY1	ATF6
YY1	MYC
YY1	TFCP2
YY1	JUN
YY1	FOS
YY1	TP53
YY1	TFAP2B
YY1	TFDP1
YY1	E2F2
YY1	NCOA3
YY1	TFAP2C
YY1	E2F3
YY1	FOXA1
YY1	FOXK2
YY1	TFAP2A
YY1	RARB
YY1	RARA
SRCAP	SAFB2
E2F3	E2F1
E2F3	ELF1
E2F3	SP1
E2F3	MEF2C
E2F3	TBP
E2F3	YY1
E2F3	TFDP1
E2F3	GSC
E2F3	E2F2
E2F3	TFE3
E2F3	TFDP3
E2F3	DNMT1
E2F3	SPI1
E2F3	RBPJ
TCF3	GATA1
TCF3	RUNX1
TCF3	MYB
TCF3	SMAD3
TCF3	MYF6
TCF3	PBX1
TCF3	ATOH1
TCF3	GATA3
TCF3	MEF2D
TCF3	MEF2C
TCF3	TCF12
TCF3	NEUROD1
TCF3	MEF2A
TCF3	SMAD4
TCF3	ASCL1
TCF3	FERD3L
TCF3	MESP2
TCF3	TAL1
TCF3	MYOG
TCF3	MYOD1
TCF3	EBF1
TCF3	MYF5
TCF3	TCF4
TCF3	LYL1
TCF3	HEY1
TCF3	ASCL3
TCF3	GATA2
TCF3	PAX5
PAX8	NKX2-1
PAX8	RXRB
PAX8	RXRA
PAX8	FOXE1
PAX8	RXRG
PAX8	PPARG
ARID3A	TP53
TFCP2L1	ESRRB
LHX4	ESX1
LHX4	LHX3
LHX4	ISL2
LHX4	POU1F1
LHX4	ISL1
EPAS1	ARNT
EPAS1	NR3C1
EPAS1	HIF3A
EPAS1	NANOG
EPAS1	PBX1
EPAS1	KLF4
EPAS1	SALL4
EPAS1	SMAD4
EPAS1	ZSCAN10
